title,description,directed_by,produced_by,starring,country,language,release_date
The Birds Who Fear Death,"The Birds Who Fear Death is a 2024 Canadian drama film written, directed and produced by Sanjay Patel, starring Adam Beach, Simon Baker, and Graham Greene.[1]",Sanjay Patel,Sanjay Patel,"Adam Beach, Simon Baker, Graham Greene, Carmen Moore, Tanaya Beatty, Nathaniel Arcand, Glen Gould, Tommy J. Mueller",Canada,English,21-09-2024
Birth,Birth (Spanish: Alumbramiento) is a 2024 Spanish-Romanian drama film directed by Pau Teixidor and written by Teixidor and Lorena Iglesias. It stars Sofía Milán alongside María Vázquez.,Pau Teixidor,"Pedro Hernández Santos, Francesc Escribano, Vlad Rădulescu","Sofía Milán, Celia Lopera, Carmen Escudero, Paula Agulló, Victoria Oliver, Alba Munuera","Spain, Romania",Spanish,24-04-2024
The Birth of Korea,"The movie's sequel, The Birth of Korea 2, is scheduled for release in 2025.[6]",Kim Deog-young,No data,No data,South Korea,Korean,01-02-2024
The Birthday Boy,"The Birthday Boy  is a 2024 Indian Telugu-language thriller film written and directed by Whisky. The film has an ensemble cast of Ravi Krishna,  Sameer Malla,Vikranth Ved, Raja Ashok Vallamsetty, Sai Arun, Rahul Chilampalli and Mani Vaaka. The Birthday Boy was released on 19 July 2024.[1]",Whisky,"Bharat Immallaraju, Whisky","Ravi Krishna, Sameer Malla, Vikranth Ved, Raja Ashok Vallamsetty, Sai Arun, Rahul Chilampalli, Mani Vaaka",India,Telugu,19-07-2024
Birthmark,Birthmark is a 2024 Indian Tamil-language thriller drama film written and directed by Vikram Shreedharan.[1] The film stars Shabeer Kallarakkal and Mirnaa Menon in the lead roles. The film was produced by Vikram Shreedharan and Sriram Sivaraman under the banners of Sapiens Entertainment.[2],Vikram Shreedharan,"Vikram Shreedharan, Sriram Sivaraman","Shabeer Kallarakkal, Mirnaa Menon",India,Tamil,23-02-2024
Bisi-Bisi Ice-Cream,"Bisi-Bisi Ice-Cream (transl. Super-Hot Ice-Cream) is a 2024 Indian Kannada-language drama film written and directed by Arvind Sastry. Produced by Akshara Bharadwaj under Boiled Beans Pictures, and starring Aravind Iyer, Siri Ravikumar and Gopalakrishna Deshpande.[1]",Arvind Sastry,Akshara Bharadwaj,"Aravind Iyer, Siri Ravikumar, Gopalakrishna Deshpande",India,Kannada,05-07-2024
Bitconned,"Bitconned is a true crime documentary film released by Netflix on January 1, 2024. The film was directed by Bryan Storkel.[1][2]",No data,No data,No data,No data,No data,No date
Bitter Gold,"Carola lives in the Atacama Desert with her father, Pacífico, operating a copper mine, although they hide a secret: a vein of gold. After a violent confrontation with an intruding miner, Pacífico is injured. Carola takes his place in the mine, defying her own youth and the hostility of the other miners to achieve her dream of a home by the sea.[6]",Juan Francisco Olea,"Arturo Pereyra, Cristóbal Zapata, Daniela Raviola, Felipe Egaña, Francisco Hervé, Juan Bernardo González, Moisés Sepúlveda, Tom Schreiber, Virginia Bogliolo","Francisco Melo, Kat Sánchez","Chile, Germany, Mexico, Uruguay",Spanish,13-10-2024
Black,"Black is a 2024 Indian Tamil-language science fiction horror thriller film directed by KG Balasubramani and produced by Potential Studios. The film stars Jiiva and Priya Bhavani Shankar in the lead roles, alongside Vivek Prasanna, Yog Japee and Swayam Siddha. It is an adaptation of the 2013 American film Coherence, directed by James Ward Byrkit. The film follows newlyweds Vasanth and Aranya who goes on a vacation but realize  they are stuck in a worm hole which changes timeline each time they pass it.",KG Balasubramani,"S. R. Prakash Babu, S. R. Prabhu, P Gopinath, Thanga Prabaharan R","Jiiva, Priya Bhavani Shankar, Vivek Prasanna, Yog Japee",India,Tamil,11-10-2024
Tokyo Shimbun,Black Box Diaries is a 2024 documentary film directed by Shiori Itō.[3] The film chronicles her investigation into her own sexual assault case.[4],Shiori Itō,"Eric Nyari, Hanna Aqvilin, Shiori Itō",No data,"Japan, United States, United Kingdom","English, Japanese",20-01-2024
Black Dog,"Former stunt motorcyclist Lang returns to his hometown on the outskirts of the Gobi Desert, where he was a local celebrity prior to his imprisonment. Now residing with his father, Lang must avoid the spiteful local gangster ""Butcher Hu"", who aims to exact revenge on Lang for his role in his nephew's death. Lang decides to seek the bounty placed on a wild dog as part of a larger program to remove unwanted animals in preparation for the 2008 Summer Olympics in Beijing, and eventually strikes up an unlikely friendship with the canine.[4]",Guan Hu,Zhu Wenjiu,"Eddie Peng, Tong Liya",China,Mandarin,18-05-2024
The Black Sea,"It had its world premiere at South by Southwest on March 9, 2024, and was released in the United States on November 22, 2024, by Metrograph Pictures.","Crystal Moselle, Derrick B. Harden","Crystal Moselle, Izabella Tzenkova","Derrick B. Harden, Irmena Chichikova, Samuel Finzi, Stoyo Mirkov","United States, Bulgaria","English, Bulgarian",09-03-2024
Black Tea,Black Tea is a 2024 romantic drama film co-written and directed by Abderrahmane Sissako. The film starring Nina Mélo and Chang Han is about an Ivorian woman in her 30s who immigrates to China and falls in love with a 45 year old Chinese man. [3][4],Abderrahmane Sissako,"David Gauquié, Julien Deris, Denis Freyd, Kessen Fatoumata Tall, Jean-Luc Ormières","Nina Mélo, Chang Han, Wu Ke-xi","France, Mauritania, Luxembourg, Taiwan, Ivory Coast","Mandarin, French, English, Portuguese",21-02-2024
Blackout,"Blackout is a 2024 Hindi-language comedy thriller film directed by Devang Shashin Bhavsar and produced by Jyoti Deshpande and Niraj Kothari. It stars Vikrant Massey, Ruhani Sharma, Sunil Grover, Mouni Roy, Jisshu Sengupta, Anant Vijay Joshi,  Prasad Oak, Kelly Dorji and others.[1][2][3] The film was released on 7 June 2024 on JioCinema, to mixed reviews from critics.",Devang Shashin Bhavsar,"Jyoti Deshpande, Niraj Kothari","Vikrant Massey, Mouni Roy, Ruhani Sharma, Sunil Grover, Jisshu Sengupta",India,Hindi,07-06-2024
Blackwater Lane,"The film was released theatrically in the United States and on demand by Lionsgate Films on June 21, 2024.",Jeff Celentano,"Shaun Sanghani, Lucinda Rhodes Thakrar, Elizabeth Fowler, Warren Ostergard","Minka Kelly, Maggie Grace, Dermot Mulroney",United States,English,21-06-2024
Blink,"Produced by National Geographic Documentary Films, it had its world premiere at the 51st Telluride Film Festival on August 30, 2024, and was released on October 4, 2024, by Walt Disney Studios Motion Pictures.[a]","Edmund Stenson, Daniel Roher","Melanie Miller, Diane Becker",No data,United States,English,30-08-2024
Blink,"Blink is a 2024 Indian Kannada-language science fiction thriller film written and directed by debutant Srinidhi Bengaluru. The film stars Dheekshith Shetty and Chaithra J. Achar in lead roles. The soundtrack and background score were composed by Prasanna Kumar MS, while the cinematography handled by Avinaasha Shastry and editing done by Sanjeev Jagirdar.[1]",Srinidhi Bengaluru,Ravichandra AJ,"Dheekshith Shetty, Chaithra J. Achar, Gopalkrishna Deshpande, Mandara Battalahalli",India,Kannada,08-03-2024
Blink Twice,"Blink Twice is a 2024 American psychological thriller[5] film directed and produced by Zoë Kravitz (in her directorial debut) from a script she wrote with E.T. Feigenbaum. The film stars Naomi Ackie, Channing Tatum, Christian Slater, Simon Rex, Adria Arjona, Haley Joel Osment, Kyle MacLachlan, Geena Davis, and Alia Shawkat. It tells the story of a group of people invited to the private island of a billionaire tech mogul as something strange happens with the attendees.",Zoë Kravitz,"Bruce Cohen, Tiffany Persons, Garret Levitz, Zoë Kravitz, Channing Tatum","Naomi Ackie, Channing Tatum, Christian Slater, Simon Rex, Adria Arjona, Kyle MacLachlan, Haley Joel Osment, Geena Davis, Alia Shawkat",United States,English,08-08-2024
Blitz,"Blitz  is a 2024 historical war drama film written, produced and directed by Steve McQueen. The film stars Saoirse Ronan and Elliott Heffernan (in his film debut), supported by Harris Dickinson, Benjamin Clementine, Kathy Burke, Paul Weller, and Stephen Graham.",Steve McQueen,"Tim Bevan, Eric Fellner, Steve McQueen, Anita Overland, Adam Somner, Arnon Milchan, Yariv Milchan, Michael Schaefer","Saoirse Ronan, Elliott Heffernan, Harris Dickinson, Benjamin Clementine, Kathy Burke, Paul Weller, Stephen Graham","United Kingdom, United States",English,09-10-2024
Block Pass,"Block Pass (French: La Pampa) is a French drama film, directed by Antoine Chevrollier and released in 2024.[1] The film stars Amaury Foucher as Jojo, a teenager living in Longué-Jumelles who is training as a motocross racer, and Sayyid El Alami as Willy, his longtime best friend whose support and loyalty prove critical to Jojo's survival after he is outed to the community as gay.[2]",Antoine Chevrollier,Nicolas Blanc,"Amaury Foucher, Sayyid El Alami, Damien Bonnard",France,French,20-05-2024
Blood and Black,Blood and Black is a 2024 Indian Tamil-language horror thriller film written and directed by Guru Karthikeyan. The film stars Sugi Vijay and Yanni Jackson. The film was produced by Hari Krishnan Vasudevan under the banner of Blue whale entertainments.,Guru Karthikeyan,Hari Krishnan Vasudevan,"Sugi Vijay, Yanni Jackson, Sharmi",India,Tamil,06-12-2024
The Blood Brothers,"In the remote highlands of Mindanao, two brothers grow up deeply rooted in their indigenous community's customs and traditions. The elder brother (Cesar Montano), is a steadfast guardian of their ancestral heritage, embracing the ways of their forebears with unwavering devotion. His life is intertwined with the community's rituals, oral histories, and spiritual beliefs, which he strives to preserve amidst the encroaching influences of the modern world.",Cesar Montano,Dr. Ronald Adamat,"Cesar Montano, Victor Neri, Allan Paule, Dr. Ronald Adamat",Philippines,Filipino,08-05-2024
Blood Star,"Blood Star premiered at Neuchâtel International Fantastic Film Festival in Switzerland on July 9, 2024 and was released in the UK on October 7, 2024 by Plaion. It was produced by Beast Productions, Fastback Films and Beast Los Angeles. The film has been selected at various film festivals in Europe.",Lawrence Jacomelli,"Lawrence Jacomelli, Victoria Taylor, Zaina Taibi","John Schwab, Britni Camacho, Sydney Brumfield, Travis Lincoln Cox, Felix Merback, Wyomi Reed","United States, United Kingdom",No data,09-07-2024
Bloodline Killer,"Bloodline Killer is a 2024 American slasher film directed by Ante Novakovic and written by Anthony and James Gaudioso.  It stars Bruce Dern, Tyrese Gibson,  Shawnee Smith and Taryn Manning.",Ante Novakovic,"James Gaudioso, Anthony Gaudioso, Ante Novakovic, DJ Dodd, Shawnee Smith, Rob Simmons","Shawnee Smith, Taryn Manning, Drew Moerlein, James Gaudioso, Montanna Gillis, Kresh Novakovic, Adam Shippey, Anthony Gaudioso, Bruce Dern, Tyrese Gibson",United States,English,26-04-2024
Bloody Axe Wound,"Abbie is the adopted daughter of Roger Bladecut, a prolific serial killer. The family makes their money by selling tapes of Roger's slayings at their struggling horror themed video rental store. It is never clarified  how the recordings are made or who makes them, and Roger is not the only filmed killer. The family only receives information telling them who must be killed and after completion the tapes appear on the store's doorstep. One evening the Bladecuts receive a new list of victims. Roger heads out with Abbie as a behind-the-scenes assistant. The outing goes poorly and ends with Roger dying from a heart attack. He is buried by Abbie so he can resurrect, but Roger finds that he is unable to exit the grave on his own, forcing him to realize that he is getting too old to be an effective serial killer. He decides to enlist the family's sole employee at the video store, however his outing goes even worse than Roger's and Abbie is forced to slay two of the victims herself. Abbie then takes up the task of serial killer herself, enlisting her friend Glenn as a helper in exchange for him appearing in the movies as a non-victim. Despite his concern that a woman serial killer might not be as effective as a male counterpart, Roger decides to support Abbie.",Matthew John Lawrence,"Hilarie Burton Morgan, Mary Stuart Masterson, Wicky Mendoza, Matthew John Lawrence","Sari Arambulo, Molly Brown, Billy Burke, Jeffrey Dean Morgan",United States,English,27-12-2024
Bloody Beggar,"Bloody Beggar is a 2024 Indian Tamil-language black comedy drama film directed by debutant Sivabalan Muthukumar and produced by Nelson Dilipkumar under Filament Pictures, in their maiden production venture. The film stars Kavin in the lead role, alongside Radha Ravi, Redin Kingsley, Padam Venu Kumar, Prudhvi Raj, Saleema, Priyadharshini Rajkumar, Sunil Sukhada and T. M. Karthik.",Sivabalan Muthukumar,Nelson,"Kavin, Redin Kingsley, Prudhvi Raj",India,Tamil,31-10-2024
Bloody Ishq,Bloody Ishq (transl. Bloody Love) is a 2024 Indian Hindi-language horror thriller film directed by Vikram Bhatt and written by Mahesh Bhatt.[1] The film stars Avika Gor and Vardhan Puri. The film premiered on 26 July 2024 on Disney+ Hotstar.[2],Vikram Bhatt,Rakesh Juneja,"Avika Gor, Vardhan Puri",India,Hindi,26-07-2024
Blossoms Under Somewhere,"After initially leaving the film industry following her work on Weeds on Fire (2016), screenwriter Riley Yip developed the screenplay in 2019 and was subsequently selected for the First Feature Film Initiative in 2020. Pre-production commenced during the COVID-19 pandemic and principal photography took place in 2023, primarily at the Ebenezer School & Home for the Visually Impaired. The film also features two theme songs performed by Marife Yau.",Riley Yip,Fruit Chan,"Marife Yau, Sheena Chan",Hong Kong,Cantonese,18-10-2024
The Blue Angels,"The Blue Angels is a 2024 documentary film about the Blue Angels pilots of the United States Navy. It was directed by Paul Crowder and released ahead of Memorial Day weekend by Amazon MGM Studios; on May 17, 2024, in IMAX theaters and on May 23, 2024, on Amazon Prime Video. The film received generally positive reviews from critics, who praised the flying shots, but criticized the lack of human drama. Critics have described the film as an advertisement for the U.S. military.",Paul Crowder,"Glen Powell, Sean Stuart, Glen Zipper, Mark Monroe, J. J. Abrams, Hannah Minghella",No data,United States,English,No date
Blue Rodeo: Lost Together,"The film premiered at the 2024 Whistler Film Festival,[2] where it was the winner of the Audience Award.[3] It has been acquired for theatrical and streaming distribution by Blue Ice Docs.[4]",Dale Heslip,"Francine Dibacco, Corey Russell",Blue Rodeo,Canada,English,06-12-2024
Blue Sky Jo,"The cast also includes Vincent-Guillaume Otis and Marilyn Castonguay as Hélène's parents, as well as Gabrielle B. Thuot, Mia Drolet, Élia St-Pierre, Denis Houle, Jack Robitaille, Amélie Bernard, Marie Michaud, Marie Bernier, Marie-Hélène Gendreau, Linda Laplante, Pierre-Yves Charbonneau, Sacha Lapointe, Amélie Pelletier, Jean-Philippe Côté, Ariane Bellavance-Fafard, Luc Bélanger-Morissette, Karl-Patrice Dupuis, Pierre-Luc Fontaine, Marguerite Bouchard, Andréanne Fortin and Charles Roberge in supporting roles.[3]",Patrice Sauvé,"Sonia Despars, Marc Biron","Juliette Bharucha, Gildor Roy, Vincent-Guillaume Otis, Marilyn Castonguay",Canada,French,16-08-2024
Blue Star,"Blue Star is a 2024 Indian Tamil-language sports drama film directed by S. Jayakumar in his directorial debut and jointly produced by Pa. Ranjith under his production banner Neelam Productions along with R. Ganesh Murthy and G. Soundarya under Lemon Leaf Creation Pvt Ltd. The film stars Ashok Selvan, Shanthanu Bhagyaraj and Keerthi Pandian, with Prithvi Rajan, Bagavathi Perumal, Elango Kumaravel and Lizzie Antony in supporting roles, and Saju Navodaya in an extended cameo. The film features music composed by Govind Vasantha with cinematography handled by Thamizh A Azhagan and editing done by Selva R. K. It was released on 24 January 2024 to positive reviews from critics.",S. Jayakumar,"Pa. Ranjith, R. Ganesh Murthy, G. Soundarya","Ashok Selvan, Shanthanu Bhagyaraj, Keerthi Pandian",India,Tamil,24-01-2024
Blue Sun Palace,"It had its world premiere at the Cannes Film Festival on May 19, 2024, in the Critics' Week section. It was released on April 25, 2025, by Dekanalog.",Constance Tsang,"Sally Sujin Oh, Eli Raskin, Tony Yang","Lee Kang-sheng, Wu Ke-xi, Haipeng Xu",United States,"English, Mandarin",19-05-2024
Boat,"Boat is a 2024 Indian Tamil-language survival drama film written and directed by Chimbu Deven.[3] The film stars Yogi Babu, and Gouri G. Kishan with M. S. Bhaskar, Chinni Jayanth, Jesse Fox-Allen,
Chaams, Jangiri Madhumitha, Sha Ra, Kulappulli Leela, and Aakshath Das in supporting roles.",Chimbu Deven,"Prabha Premkumar, C.Kalaivani, Chimbu Deven","Yogi Babu, Gouri G. Kishan",India,Tamil,02-08-2024
Bob Marley: One Love,"Bob Marley: One Love is a 2024 American biographical drama musical film based on the life of reggae singer and songwriter Bob Marley, played by Kingsley Ben-Adir, from his rise to fame in the mid-1970s to his death in 1981. The film is directed by Reinaldo Marcus Green, who co-wrote the screenplay with Terence Winter, Frank E. Flowers, and Zach Baylin. It also stars Lashana Lynch as Rita Marley and James Norton as Chris Blackwell.",Reinaldo Marcus Green,"Robert Teitel, Dede Gardner, Jeremy Kleiner, Ziggy Marley, Rita Marley, Cedella Marley","Kingsley Ben-Adir, Lashana Lynch, James Norton",United States,"English, Jamaican Patois, [, 2, ], [, 3, ]",23-01-2024
Bob Trevino Likes It,"Bob Trevino Likes It is a 2024 American comedy drama film written and directed by Tracie Laymon. It stars Barbie Ferreira and John Leguizamo with supporting roles provided by French Stewart and Rachel Bay Jones. The film centers on a young woman who searches for her estranged father, Bob Trevino, online and forms a bond with a different man of the same name. The story is semi-autobiographical, inspired by Laymon's personal experiences.",Tracie Laymon,"Tracie Laymon, Sean Mullin, Edgar Rosa, Felipe Dieppa","Barbie Ferreira, John Leguizamo, French Stewart",United States,English,09-03-2024
Bodiless,This film was nominated for the best first director and the best first film at the Fajr Film Festival.,Morteza Alizadeh,Seyyed Mostafa Ahmadi,"Elnaz Shakerdoost, Navid Pourfaraj, Soroush Sehhat, Pejman Jamshidi",Iran,Persian,01-02-2024
Bogancloch,Bogancloch competed for the Golden Leopard at the 77th Locarno Film Festival in August 2024.[2],Ben Rivers,"Ben Rivers, Sarah Neely, John Archer",Jake Williams,"United Kingdom, Germany, Iceland","English, Scots",No date
Bogieville,"A young couple on the run come across a derelict trailer park, BOGIEVILLE. Convinced to stay by the sinister caretaker 'Crawford' they soon learn that he is a guardian to the residents of Bogieville, a pack of Vampires headed by the formidable Madison.",Sean Cronin,"Djonny Chen, Sean Cronin","Arifin Putra, Eloise Lovell Anderson, Sean Cronin, Daniel P. Lewis",United States,English,25-08-2024
Bogota: City of the Lost,"Bogota: City of the Lost (Korean: 보고타: 마지막 기회의 땅) is a 2024 South Korean crime drama film co-written and directed by Kim Seong-je, starring Song Joong-ki, Lee Hee-joon and Kwon Hae-hyo. It tells the story of immigrants who start dangerous deals to survive in Bogotá, the last land for the hopeless lives.[3][4]",Kim Seong-je,"Shin Beom-su, Park Seong-il","Song Joong-ki, Lee Hee-joon, Kwon Hae-hyo, Park Ji-hwan, Cho Hyun-chul, Kim Jong-soo",South Korea,"Korean, Spanish",03-10-2024
Bohurupi,"Bohurupi (/bɔːhuˈruːpi/ transl. One with many forms) is a 2024 Indian Bengali-language vigilante heist action thriller film[5] written, directed and produced by Nandita Roy and Shiboprosad Mukherjee under the banner of Windows Production.[6][7][8] Based upon a chain of real life events in the timeline between 1998 and 2005,[9][10] the film stars Mukherjee himself in the titular role, alongside Abir Chatterjee, Ritabhari Chakraborty and Koushani Mukherjee in the lead roles.[11][12] It follows Bikram, an itinerant showman, who amuses people and earns money by impersonating demons, undergoes a psychological transformation after having a miraculous dream.","Nandita Roy, Shiboprosad Mukherjee","Nandita Roy, Shiboprosad Mukherjee","Shiboprosad Mukherjee, Abir Chatterjee, Ritabhari Chakraborty, Koushani Mukherjee",India,Bengali,08-10-2024
Boksi Ko Ghar,"The film released on April 26, 2024, with positive reviews from the critics and audiences alike.[3][5]",Sulakshyan Bharati,Badri Adhikari,"Keki Adhikari, Shupala Sapkota, Swechchha Raut",Nepal,No data,26-04-2024
Boléro,"Boléro is a 2024 French biographical film directed by Anne Fontaine. It is about the life of musical composer Maurice Ravel during his preparation of Boléro, as commissioned by Ida Rubinstein. It is loosely adapted from Marcel Marnat's 1986 monograph Maurice Ravel.[2][3]",Anne Fontaine,"Philippe Carcassonne, David Gauquié, Julien Deris, Jean-Louis Livi, Patrick Quinet","Raphaël Personnaz, Doria Tillier, Jeanne Balibar, Vincent Perez, Emmanuelle Devos","France, Belgium",French,27-01-2024
The Bond,"The Bond (Spanish: La fianza)[1] is a 2024 Spanish thriller film directed by Gonzalo Perdomo-Tafur starring Juana Acosta, Israel Elejalde and Julián Román.",Gonzalo Perdomo-Tafur,"Mateo Bettinger, William de Marsangy, Juan Víctor Sumarriva","Juana Acosta, Israel Elejalde, Julián Román",Spain,Spanish,01-11-2024
Boneyard,"Boneyard is a 2024 American crime thriller film directed by Asif Akbar, produced by Colin Bates, Asif Akbar, and Vincent E. McDaniel, and starring Mel Gibson and 50 Cent. It is based on the West Mesa murders.",Asif Akbar,"Colin Bates, Tamas Nadas, Asif Akbar, Vincent E. McDaniel","Mel Gibson, Curtis Jackson, Brian Van Holt, Nora Zehetner, Gabrielle Haugh, Weston Cage, Spice Williams-Crosby, Gail O'Grady",United States,English,05-06-2024
Bonhoeffer,"Bonhoeffer (released as Bonhoeffer: Pastor. Spy. Assassin.) is a 2024 historical drama thriller film about the German theologian and anti-Nazi dissident Dietrich Bonhoeffer, written, produced and directed by Todd Komarnicki. It stars Jonas Dassler, August Diehl, David Jonsson, Flula Borg, Moritz Bleibtreu, and Clarke Peters.",Todd Komarnicki,"Emmanuel Kampouris, Camille Kampouris, Ralph Winter, Mark O'Sullivan, Chloe Kassis-Crowe, John Bennett Scanlon, Todd Komarnicki","Jonas Dassler, August Diehl, David Jonsson, Flula Borg, Moritz Bleibtreu, Nadine Heidenreich, Patrick Mölleken, Clarke Peters","United States, Belgium, Ireland",English,22-11-2024
Bonjour Tristesse,"Bonjour Tristesse is a 2024 coming-of-age romantic drama film written and directed by Durga Chew-Bose in her feature-length directorial debut, based on the 1954 novel by Françoise Sagan. It stars Lily McInerny, Claes Bang, Nailia Harzoune, Aliocha Schneider, and Chloë Sevigny. It is the second film adaptation of the novel, after the 1958 version directed by Otto Preminger, starring Deborah Kerr, David Niven, and Jean Seberg.",Durga Chew-Bose,"Christina Piovesan, Noah Segal, Benito Mueller, Wolfgang Mueller, Joe Iacono, Julie Viez, Durga Chew-Bose, Katie Bird Nolan, Lindsay Tapscott","Lily McInerny, Claes Bang, Nailia Harzoune, Aliocha Schneider, Chloë Sevigny","Canada, [, 1, ], Germany, [, 1, ]","English, [, 1, ], French, [, 1, ]",05-09-2024
Bookworm,"Bookworm is a 2024 New Zealand adventure comedy drama film directed by Ant Timpson from a screenplay by Toby Harvard, based on a story by Timpson and Harvard.[5] It stars Elijah Wood and Nell Fisher.[6] The film follows a young girl embarking on an adventure with her estranged American father to seek out the mythical Canterbury panther.",Ant Timpson,"Emma Slade, Roxi Bull, Victoria Dabbs, Mette-Marie Kongsved, Laura Turnstall","Elijah Wood, Michael Smiley, Nell Fisher",New Zealand,English,No date
Boomer Uncle,Boomer Uncle is a 2024 Indian Tamil-language comedy drama film directed by Swadees MS and starring Oviya and Yogi Babu.[1][2],Swadees MS,"Anbu, Karthik K. Thillai","Oviya, Yogi Babu",India,Tamil,29-03-2024
Boomerang,"Boomerang (/buːməræŋ/) is a 2024 Indian Bengali-language science fiction comedy-drama film co-written and directed by Sauvik Kundu.[3][4] Produced by Jeet, Gopal Madnani and Amit Jumrani under the banner of Jeetz Filmworks and Grassroot Entertainment,[5] it stars Jeet himself and Rukmini Maitra in the lead,[6][7] both portraying dual roles[8] alongside an ensemble cast of Sourav Das, Rajatava Dutta, Kharaj Mukherjee, Ambarish Bhattacharya, Shyamal Chakraborty, Jhulan Bhattacharya, Ayesha Bhattacharya and Debchandrima Singha Roy, with Biswanath Basu in a special appearance.[9][10]",Sauvik Kundu,"Jeet, Gopal Madnani, Amit Jumrani","Jeet, Rukmini Maitra, Sourav Das, Rajatava Dutta, Kharaj Mukherjee, Ambarish Bhattacharya, Shyamal Chakraborty, Jhulan Bhattacharya",India,Bengali,07-06-2024
Boong,"Boong is a 2024 Manipuri film directed by Lakshmipriya Devi and produced by Farhan Akhtar, Vikesh Bhutani, Alan McAlex, Ritesh Sidhwani and Shujaat Saudagar.[1][2][3] The movie stars Gugun Kipgen and Bala Hijam in the lead roles.[4][5] The production companies include Excel Entertainment, Chalkboard Entertainment and Suitable Pictures.[6][7] The film had its world premiere at the 2024 Toronto International Film Festival under the Discovery section.[8][9][10] The film was certified by CBFC with a ""U"" certificate in 2025.[11]",Lakshmipriya Devi,"Farhan Akhtar, Vikesh Bhutani, Alan McAlex, Ritesh Sidhwani, Shujaat Saudagar","Gugun Kipgen, Bala Hijam",India,"Meiteilon, (, Manipuri, )",05-09-2024
Bootcut Balaraju,"Bootcut Balaraju is a 2024 Indian Telugu-lanaguage romantic comedy film written and directed by Sree Koneti.[2] The film was produced by Md. Pasha.[3] Co-produced by Pandu and Mamidishetty Srinivas under Katha Verunthadi Productions and Global films, the film stars Syed Sohel,[4] Meghalekha, Sunil, Indraja, Vennela Kishore and Brahmaji in lead roles.[5]",Sree Koneti,Md. Pasha,"Syed Sohel, Meghalekha, Sunil, Indraja, Vennela Kishore, Brahmaji",India,Telugu,No date
Borderlands,"Borderlands is a 2024 American science fiction action comedy film directed by Eli Roth, who co-wrote the screenplay with Joe Crombie, based on the video game series of the same name developed by Gearbox Software. It stars Cate Blanchett as Lillith, an outlaw who forms an alliance with a team of misfits to find the missing daughter of the most powerful man in the universe.[5] The ensemble cast also features Kevin Hart, Jack Black, Edgar Ramirez, Ariana Greenblatt, Florian Munteanu, Gina Gershon, and Jamie Lee Curtis.",Eli Roth,"Ari Arad, Avi Arad, Erik Feig","Cate Blanchett, Kevin Hart, Jack Black, Edgar Ramírez, Ariana Greenblatt, Florian Munteanu, Gina Gershon, Jamie Lee Curtis",United States,English,06-08-2024
Borderless Fog,"The film received twelve nominations at the 2024 Indonesian Film Festival, including Best Picture.",Edwin,"Meiske Taurisia, Muhammad Zaidy","Putri Marino, Yoga Pratama, Lukman Sardi",Indonesia,Indonesian,01-08-2024
Bosco,"Bosco is a 2024 American biographical drama film written and directed by Nicholas Manuel Pino. It is based on the memoir Chasin' Freedum by Quawntay Adams. It stars Aubrey Joseph, Nikki Blonsky, D.C. Young Fly, John Lewis, Theo Rossi, Thomas Jane, Tyrese Gibson, and Vivica A. Fox.",Nicholas Manuel Pino,"Quawntay Adams, Patrick McErlean, Darryll C. Scott, Justin Steele","Aubrey Joseph, Nikki Blonsky, D.C. Young Fly, John Lewis, Theo Rossi, Thomas Jane, Tyrese Gibson, Vivica A. Fox",United States,English,02-02-2024
Bottle George,"A strange creature stuck in a bottle of alcohol is captured by a little girl, who is the daughter to an alcoholic father. The creature tries to escape, but the girl and her cat seem to always get in the way of his freedom. Meanwhile, the little girl's drunken father greatly affects her. As he witnesses her pain, the creature starts to understands who he is, and why he is stuck in the bottle.[10]",Daisuke Tsutsumi,Noriko Matsumoto,No data,Japan,No data,01-01-2024
Bougainvillea,"Bougainvillea is a 2024 Indian Malayalam-language psychological thriller slasher film directed by Amal Neerad, who co-wrote the script with Lajo Jose. It is jointly produced by Amal Neerad Productions and Udaya Pictures.[3] The film stars Kunchacko Boban, Jyothirmayi, Fahadh Faasil with Veena Nandakumar, Srinda and Sharaf U Dheen in supporting roles. It was inspired by Lajo Jose's novel Ruthinte Lokam (2019) and marks Jyothirmayi's comeback to cinema after an 11-year hiatus.[4][5][6]",Amal Neerad,"Jyothirmayi, Kunchacko Boban","Kunchacko Boban, Jyothirmayi, Fahadh Faasil",India,Malayalam,17-10-2024
Bound in Heaven,"The film portrays a story where an exhausted woman (played by Ni Ni) rekindles the spirit of a man (played by Zhou You), whose heart has grown cold and desolate. Together, they embark on a journey of both physical and emotional liberation, bound tightly by desire and passion, navigating through an intense exploration of life and death.",Huo Xin,An Hanjin,"Ni Ni, Zhou You, Liao Fan",China,Mandarin,06-09-2024
The Box Man,"The Box Man (Japanese: 箱男) is a 2024 Japanese drama film directed by Gakuryū Ishii. The film is adaptation of 1973 eponymous novel by Japanese author Kōbō Abe. It is surreal story in which a cardboard box becomes the perfect shell for men who want to withdraw from society, and gaze without being seen.[1]",Gakuryū Ishii,"Keisuke Konishi, Tomohiko Seki","Masatoshi Nagase, Tadanobu Asano, Koichi Sato",Japan,Japanese,17-02-2024
