,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
50,Toxic: A Fairy Tale for Grown-Ups,"Toxic: A Fairy Tale for Grown-Ups is an upcoming Indian Kannada-language period gangster film written and directed by Geetu Mohandas[2] the film stars Yash and Nayanthara, alongside Huma Qureshi, Kiara Advani, Tara Sutaria, and Akshay Oberoi. It is jointly produced by Venkat K. Narayana and Yash under their KVN Productions and Monster Mind Creations production companies.",Geetu Mohandas,"Geetu Mohandas, Yash","Venkat K. Narayana, Yash","Yash, Kiara Advani, Tara Sutaria, Nayanthara, Huma Qureshi, Akshay Oberoi",Rajeev Ravi,B. Ajithkumar,19 March 2026,India,Kannada
51,Toy Story 5,"Toy Story 5 is an upcoming American animated comedy film produced by Pixar Animation Studios for Walt Disney Pictures. It is the fifth installment in Pixar's Toy Story film series and was written and directed by Andrew Stanton. Tom Hanks and Tim Allen are set to reprise their respective roles of Woody and Buzz Lightyear from the first four films, with Anna Faris, Ernie Hudson, and Conan O'Brien joining the cast.",Andrew Stanton,Andrew Stanton,Jessica Choi,"Tom Hanks, Tim Allen, Ernie Hudson, Anna Faris, Conan O'Brien",,,"June 19, 2026",United States,English
52,Judy,"Alejandro González Iñárritu is directing and co-producing an American comedy film tentatively titled Judy[1] from a screenplay by Iñárritu, Sabina Berman, Alexander Dinelaris Jr., and Nicolás Giacobone. The film stars Tom Cruise as the lead alongside an ensemble cast of Jesse Plemons, Sandra Hüller, Riz Ahmed, Sophie Wilde, Emma D'Arcy, Robert John Burke, Burn Gorman, Michael Stuhlbarg, and John Goodman.",Alejandro González Iñárritu,"Alejandro González Iñárritu, Sabina Berman, Alexander Dinelaris Jr., Nicolás Giacobone","Alejandro González Iñárritu, Tom Cruise","Tom Cruise, Jesse Plemons, Sandra Hüller, Riz Ahmed, Sophie Wilde, Emma D'Arcy, Robert John Burke, Burn Gorman, Michael Stuhlbarg, John Goodman",Emmanuel Lubezki,,"October 2, 2026",United States,English
53,Untitled Meet the Parents film,"If you can address this concern by improving, copyediting, sourcing, renaming, or merging the page, please edit this page and do so. You may remove this message if you improve the article or otherwise object to deletion for any reason. Although not required, you are encouraged to explain why you object to the deletion, either in your edit summary or on the talk page. If this template is removed, do not replace it.",John Hamburg,John Hamburg,"Robert De Niro, Ben Stiller","Robert De Niro, Ben Stiller, Blythe Danner, Teri Polo, Ariana Grande",,,"November 25, 2026",United States,English
54,West Side Story,"Steven Spielberg is directing an upcoming American science fiction film from a screenplay by David Koepp based on a story by Spielberg.[1] The film stars Emily Blunt, Josh O'Connor, Colin Firth, Eve Hewson, Wyatt Russell and Colman Domingo. The film is scheduled to be released in the United States by Universal Pictures on June 12, 2026.",Steven Spielberg,,"Kristie Macosko Krieger, Steven Spielberg","Emily Blunt, Josh O'Connor, Colin Firth, Eve Hewson, Wyatt Russell, Colman Domingo",Janusz Kamiński,,"June 12, 2026",United States,English
55,Team America: World Police,"Trey Parker is directing a comedy film from a screenplay by Vernon Chatman. It is co-produced by Parker and longtime creative collaborator Matt Stone through Park County, along with Kendrick Lamar and Dave Free through PGLang. It is Parker's first film as director since Team America: World Police (2004).",Trey Parker,Vernon Chatman,"Trey Parker, Matt Stone, Kendrick Lamar, Dave Free",,,,"March 20, 2026",United States,English
56,Verity,"Verity is scheduled to be released in the United States on May 15, 2026 by Amazon MGM Studios through Metro-Goldwyn-Mayer.",Michael Showalter,,"Nick Antosca, Alex Hedlund, Michael Showalter, Jordana Mollick, Anne Hathaway, Colleen Hoover, Stacey Sher","Anne Hathaway, Josh Hartnett, Dakota Johnson",,,"May 15, 2026",United States,English
57,White,"The film is described as a ""global thriller"" that explores the impact of Indian spiritual philosophy on global peace-building. It highlights how ancient wisdom, particularly Sri Sri Ravi Shankar's teachings, contributed to brokering peace in a country still healing from a brutal conflict. The story is presented as an untold chapter of modern peace-building, emphasizing the positive impact of spiritual guidance and non-violent dialogue.[5]",Montoo Bassi,,"Siddharth Anand, Mahaveer Jain","Vikrant Massey, Jaideep Ahlawat, Nikita Dutta",,,,India,
58,Wildwood,"Wildwood is an upcoming American animated dark fantasy film produced by Laika and based on Colin Meloy's 2011 novel illustrated by Carson Ellis. Directed by Travis Knight and written by Chris Butler, the film features an ensemble voice cast of Peyton Elizabeth Lee, Jacob Tremblay, Carey Mulligan, Mahershala Ali, Awkwafina, Angela Bassett, Jake Johnson, Charlie Day, Amandla Stenberg, Jemaine Clement, Maya Erskine, Tantoo Cardinal, Tom Waits, and Richard E. Grant.",Travis Knight,,"Arianne Sutner, Travis Knight","Peyton Elizabeth Lee, Jacob Tremblay, Carey Mulligan, Mahershala Ali, Awkwafina, Angela Bassett, Jake Johnson, Charlie Day, Amandla Stenberg, Jemaine Clement, Maya Erskine, Tantoo Cardinal, Tom Waits, Richard E. Grant",Caleb Deschanel,,2026,United States,English
59,Wuthering Heights,"Wuthering Heights is an upcoming Gothic psychological drama film written, directed, and produced by Emerald Fennell based on the 1847 novel by Emily Brontë. It stars Margot Robbie and Jacob Elordi and is scheduled to be theatrically released in the United States by Warner Bros. Pictures on February 13, 2026.",Emerald Fennell,,"Emerald Fennell, Margot Robbie","Margot Robbie, Jacob Elordi, Shazad Latif, Hong Chau, Alison Oliver",Linus Sandgren,,"February 13, 2026","United States, United Kingdom",English
